Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,M_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap__Positions_Short_Old,Swap__Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap__Positions_Short_Other,Swap__Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined,net_managed_money,zscore
CORN - CHICAGO BOARD OF TRADE,161227,2016-12-27,2602,CBT ,0,2,1231462,305691,540774,261693,3607,12425,163648,273250,63799,178037,58581,105195,1090488,1057631,140974,173831,1096404,257766,476872,246591,3576,4688,154925,261315,59126,168693,65929,80757,972546,952263,123858,144141,135058,47925,63902,20681,5610,2158,12682,15894,714,30100,13408,3682,117942,105368,17116,29690,    4026,   19309,  -13684,   -7633,    -383,    -829,    -117,   13959,    3024,  -13379,    8712,   -1982,   -1607,    8817,    5633,   -4791,100.0,24.8,43.9,21.3,0.3,1.0,13.3,22.2,5.2,14.5,4.8,8.5,88.6,85.9,11.4,14.1,100.0,23.5,43.5,22.5,0.3,0.4,14.1,23.8,5.4,15.4,6.0,7.4,88.7,86.9,11.3,13.1,100.0,35.5,47.3,15.3,4.2,1.6,9.4,11.8,0.5,22.3,9.9,2.7,87.3,78.0,12.7,22.0,706,219,299,23,      4,17,49,70,43,98,73,101,477,544,698,214,284,     23,      4,     13,     48,     71,     39,102,79,     83,461,509,400,52,228,13,      7,      6,15,12,      4,38,55,18,132,319,12.5,12.3,19.9,19.0,11.8,11.5,18.7,17.5,13.5,13.3,21.5,20.4,13.2,12.6,21.0,18.4,26.0,15.7,39.7,25.0,25.3,15.2,38.9,24.0,"(CONTRACTS OF 5,000 BUSHELS)",2602,CBT ,2,A10,FutOnly,-109602,
CORN - CHICAGO BOARD OF TRADE,161220,2016-12-20,2602,CBT ,0,2,1227436,286382,554458,269326,3990,13254,163765,259291,60775,191416,49869,107177,1092095,1048814,135341,178622,1095837,240401,492842,254467,3763,5577,156157,248906,55663,180906,56791,83150,976321,946692,119516,149145,131599,45981,61616,20358,5726,2178,11988,14765,732,30752,13320,3785,115774,102122,15825,29477,    7505,   14363,  -18660,   -4952,     -26,      40,   -5639,   20837,    4333,   -5334,   -6532,    1941,    4752,    1933,    2753,    5572,100.0,23.3,45.2,21.9,0.3,1.1,13.3,21.1,5.0,15.6,4.1,8.7,89.0,85.4,11.0,14.6,100.0,21.9,45.0,23.2,0.3,0.5,14.3,22.7,5.1,16.5,5.2,7.6,89.1,86.4,10.9,13.6,100.0,34.9,46.8,15.5,4.4,1.7,9.1,11.2,0.6,23.4,10.1,2.9,88.0,77.6,12.0,22.4,707,215,296,23,      4,18,47,75,46,102,71,100,477,547,699,209,281,     23,      4,     15,     46,     78,     43,108,79,     84,461,515,410,54,229,14,      7,      6,15,14,      5,42,57,21,140,327,12.9,13.3,20.2,20.1,12.2,12.6,19.2,18.5,13.9,14.6,21.9,21.6,13.6,13.9,21.4,19.5,25.5,14.9,39.1,24.4,24.8,14.9,38.3,23.6,"(CONTRACTS OF 5,000 BUSHELS)",2602,CBT ,2,A10,FutOnly,-95526,
CORN - CHICAGO BOARD OF TRADE,161213,2016-12-13,2602,CBT ,0,2,1219931,272019,573118,274278,4016,13214,169404,238454,56442,196750,56401,105236,1087343,1046881,132588,173050,1088603,225941,512641,258901,3796,5981,161956,226371,51494,187472,62774,80297,972042,943354,116561,145249,131328,46078,60477,20715,5558,1895,11715,16350,681,31112,15461,3105,115301,103527,16027,27801,   -1343,    -984,   -1438,    2532,    -502,    -397,   -1283,    2339,    4153,    5922,    2614,   -7810,    2133,   -1041,   -3476,    -302,100.0,22.3,47.0,22.5,0.3,1.1,13.9,19.5,4.6,16.1,4.6,8.6,89.1,85.8,10.9,14.2,100.0,20.8,47.1,23.8,0.3,0.5,14.9,20.8,4.7,17.2,5.8,7.4,89.3,86.7,10.7,13.3,100.0,35.1,46.1,15.8,4.2,1.4,8.9,12.4,0.5,23.7,11.8,2.4,87.8,78.8,12.2,21.2,716,213,303,23,      4,16,57,65,50,101,79,96,483,545,709,208,289,     23,      4,     13,     55,     68,     45,108,81,     76,466,510,411,58,232,14,      7,      5,14,13,.,36,59,19,138,325,13.0,13.4,20.5,20.2,12.4,13.0,19.7,18.8,14.0,14.6,22.1,21.5,14.0,14.3,21.9,19.9,25.1,15.3,38.2,24.5,24.4,14.8,37.4,23.8,"(CONTRACTS OF 5,000 BUSHELS)",2602,CBT ,2,A10,FutOnly,-69050,
CORN - CHICAGO BOARD OF TRADE,161206,2016-12-06,2602,CBT ,0,2,1221274,273003,574556,271746,4518,13611,170687,236115,52289,190828,53787,113046,1085210,1047922,136064,173352,1092131,228165,512728,257256,4298,5864,162798,224336,48278,183592,64209,85232,971185,944945,120946,147186,129143,44838,61828,20381,6111,1856,11395,15285,505,31091,13433,3959,114025,102977,15118,26166,  -15533,  -10285,  -13868,   -5231,    -871,    1584,  -12355,  -12038,   16452,    -971,    7055,   -6408,  -17214,   -8094,    1681,   -7439,100.0,22.4,47.0,22.3,0.4,1.1,14.0,19.3,4.3,15.6,4.4,9.3,88.9,85.8,11.1,14.2,100.0,20.9,46.9,23.6,0.4,0.5,14.9,20.5,4.4,16.8,5.9,7.8,88.9,86.5,11.1,13.5,100.0,34.7,47.9,15.8,4.7,1.4,8.8,11.8,0.4,24.1,10.4,3.1,88.3,79.7,11.7,20.3,719,213,304,23,      4,17,59,61,49,96,78,105,485,551,712,208,292,     23,      4,     14,     58,     62,     47,103,82,     89,471,522,408,58,231,14,      7,      5,14,11,.,39,53,21,140,321,13.0,12.9,20.5,19.7,12.3,12.6,19.7,18.6,14.0,13.9,21.9,20.9,14.0,13.6,21.8,19.6,25.5,16.6,38.7,26.9,24.9,16.1,38.0,25.5,"(CONTRACTS OF 5,000 BUSHELS)",2602,CBT ,2,A10,FutOnly,-65428,
CORN - CHICAGO BOARD OF TRADE,161129,2016-11-29,2602,CBT ,0,2,1236807,283288,588424,276977,5389,12027,183042,248153,35837,191799,46732,119454,1102424,1056016,134383,180791,1114432,238477,527532,261452,4273,5898,179079,236428,33061,187592,60830,89916,995475,957938,118957,156494,122375,44811,60892,19781,5372,1873,6389,14151,350,30064,11759,3681,106949,98078,15426,24297, -111849,  -36741,  -27942,    9887,   -1354,  -16231,    -537,   18936,  -37795,    6069,  -10025,  -24650,  -99998,  -99061,  -11851,  -12788,100.0,22.9,47.6,22.4,0.4,1.0,14.8,20.1,2.9,15.5,3.8,9.7,89.1,85.4,10.9,14.6,100.0,21.4,47.3,23.5,0.4,0.5,16.1,21.2,3.0,16.8,5.5,8.1,89.3,86.0,10.7,14.0,100.0,36.6,49.8,16.2,4.4,1.5,5.2,11.6,0.3,24.6,9.6,3.0,87.4,80.1,12.6,19.9,734,235,302,21,      6,19,48,78,49,103,79,108,505,570,727,231,289,     21,      6,     16,     46,     80,     46,108,85,     94,492,541,400,58,221,13,      7,      5,14,17,      5,39,52,21,141,314,12.7,12.8,20.2,19.1,12.2,12.3,19.6,18.1,13.6,13.2,21.4,19.6,13.6,12.8,21.4,18.9,24.3,20.5,37.7,29.7,23.7,20.1,37.0,28.7,"(CONTRACTS OF 5,000 BUSHELS)",2602,CBT ,2,A10,FutOnly,-65111,
CORN - CHICAGO BOARD OF TRADE,161122,2016-11-22,2602,CBT ,0,2,1348656,320029,616366,267090,6743,28258,183579,229217,73632,185730,56757,144104,1202422,1155077,146234,193579,1226110,274023,555603,252693,6902,21265,180113,218409,70288,182783,71003,112838,1094003,1056308,132107,169802,122546,46006,60763,19532,4976,1858,6624,13966,186,30398,13205,3815,108419,98769,14127,23777,  -49629,  -33129,   -5836,    3413,    1325,  -11274,    3419,  -25243,    2883,   -7330,   -4705,   -4035,  -46053,  -46885,   -3576,   -2744,100.0,23.7,45.7,19.8,0.5,2.1,13.6,17.0,5.5,13.8,4.2,10.7,89.2,85.6,10.8,14.4,100.0,22.3,45.3,20.6,0.6,1.7,14.7,17.8,5.7,14.9,5.8,9.2,89.2,86.2,10.8,13.8,100.0,37.5,49.6,15.9,4.1,1.5,5.4,11.4,0.2,24.8,10.8,3.1,88.5,80.6,11.5,19.4,760,272,317,19,      8,20,61,66,63,103,97,115,564,603,754,267,307,     19,      8,     17,     60,     68,     61,105,102,    103,552,578,389,62,214,13,      7,      5,13,15,.,34,53,19,138,304,12.4,11.4,19.2,16.9,11.5,11.0,18.0,15.6,13.1,11.4,20.2,17.0,12.7,10.7,19.5,16.1,24.5,22.6,38.2,31.3,23.9,22.2,37.5,30.6,"(CONTRACTS OF 5,000 BUSHELS)",2602,CBT ,2,A10,FutOnly,-45638,
CORN - CHICAGO BOARD OF TRADE,161115,2016-11-15,2602,CBT ,0,2,1398285,353158,622202,263677,5418,39532,180160,254460,70749,193060,61462,148139,1248475,1201962,149810,196323,1278640,307797,562172,248791,5789,33190,176556,243736,67180,190417,74872,118078,1142009,1105017,136631,173623,119645,45361,60030,19371,4114,1857,7107,14227,66,28977,12924,3727,106466,96945,13179,22700,   51325,   51626,   -4531,    2538,    1259,   13842,  -33568,   27254,    8472,    3890,    -795,    4019,   50819,   49520,     506,    1805,100.0,25.3,44.5,18.9,0.4,2.8,12.9,18.2,5.1,13.8,4.4,10.6,89.3,86.0,10.7,14.0,100.0,24.1,44.0,19.5,0.5,2.6,13.8,19.1,5.3,14.9,5.9,9.2,89.3,86.4,10.7,13.6,100.0,37.9,50.2,16.2,3.4,1.6,5.9,11.9,0.1,24.2,10.8,3.1,89.0,81.0,11.0,19.0,764,266,321,19,      8,22,48,76,60,104,102,115,552,614,758,262,312,     20,      7,     20,     46,     79,     57,108,105,    105,541,592,385,62,211,13,      7,      4,11,16,.,31,56,19,132,304,11.2,11.5,18.3,17.4,10.1,10.3,16.3,15.1,11.8,11.2,18.6,17.4,11.0,9.8,17.7,15.3,24.6,25.6,38.1,34.3,24.0,25.3,37.3,33.1,"(CONTRACTS OF 5,000 BUSHELS)",2602,CBT ,2,A10,FutOnly,-74300,
CORN - CHICAGO BOARD OF TRADE,161108,2016-11-08,2602,CBT ,0,2,1346960,301532,626733,261139,4159,25690,213728,227206,62277,189170,62257,144120,1197656,1152442,149304,194518,1233909,260247,569127,246678,4595,20110,212293,219956,55393,187780,77765,114366,1096867,1061312,137042,172597,113051,41285,57606,18909,4012,1132,8253,14068,66,28314,11416,2830,100789,91130,12262,21921,    1508,   -9830,   34148,    1601,   -1358,    2219,   10555,  -28728,   -8920,     544,    4362,    1216,   -2615,    2939,    4123,   -1431,100.0,22.4,46.5,19.4,0.3,1.9,15.9,16.9,4.6,14.0,4.6,10.7,88.9,85.6,11.1,14.4,100.0,21.1,46.1,20.0,0.4,1.6,17.2,17.8,4.5,15.2,6.3,9.3,88.9,86.0,11.1,14.0,100.0,36.5,51.0,16.7,3.5,1.0,7.3,12.4,0.1,25.0,10.1,2.5,89.2,80.6,10.8,19.4,767,253,324,19,      8,20,69,59,65,101,96,120,563,605,761,251,315,     20,      7,     17,     68,     63,     62,108,100,    107,554,579,384,58,210,14,      6,      4,11,18,.,32,56,18,125,307,10.7,11.7,17.6,18.1,10.5,10.8,17.3,15.8,11.2,11.2,18.5,18.0,11.2,10.3,18.5,16.5,25.5,25.6,38.2,34.5,24.8,25.0,37.5,33.1,"(CONTRACTS OF 5,000 BUSHELS)",2602,CBT ,2,A10,FutOnly,-13478,
CORN - CHICAGO BOARD OF TRADE,161101,2016-11-01,2602,CBT ,0,2,1345452,311362,592585,259538,5517,23471,203173,255934,71197,188626,57895,142904,1200271,1149503,145181,195949,1239466,272354,536893,245331,5889,21016,201382,247888,64729,187489,74457,113605,1105906,1064477,133560,174989,105986,39008,55692,16503,1924,159,8253,14508,6,27580,9881,2856,94365,85026,11621,20960,    9838,    3294,   24921,    9581,    -852,      90,    6129,   -1756,   -5435,    7984,     -89,   -9970,   11673,    6909,   -1835,    2929,100.0,23.1,44.0,19.3,0.4,1.7,15.1,19.0,5.3,14.0,4.3,10.6,89.2,85.4,10.8,14.6,100.0,22.0,43.3,19.8,0.5,1.7,16.2,20.0,5.2,15.1,6.0,9.2,89.2,85.9,10.8,14.1,100.0,36.8,52.5,15.6,1.8,0.1,7.8,13.7,0.0,26.0,9.3,2.7,89.0,80.2,11.0,19.8,750,247,311,19,      8,19,57,67,63,107,94,116,543,591,744,246,304,     20,      7,     18,     57,     69,     59,108,101,    104,534,570,372,52,205,15,      5,.,10,18,.,35,50,18,122,292,10.4,11.0,17.3,17.5,10.3,9.8,16.8,14.8,10.8,10.4,17.9,17.3,10.6,9.2,17.5,15.1,26.9,26.6,39.9,34.9,26.1,26.2,39.0,34.1,"(CONTRACTS OF 5,000 BUSHELS)",2602,CBT ,2,A10,FutOnly,-52761,
CORN - CHICAGO BOARD OF TRADE,161025,2016-10-25,2602,CBT ,0,2,1335614,308068,567664,249957,6369,23381,197044,257690,76632,180642,57984,152874,1188598,1142594,147016,193020,1234665,271350,512505,235680,7284,21735,194606,251021,70986,178389,72174,127066,1099812,1062771,134853,171894,100949,36718,55159,15740,548,183,8078,12309,6,25500,9057,2561,88786,79823,12163,21126,   19114,   -2109,    8240,    3844,   -1077,     703,   -6595,    2065,     626,   10988,   -7151,   13114,   20571,   16520,   -1457,    2594,100.0,23.1,42.5,18.7,0.5,1.8,14.8,19.3,5.7,13.5,4.3,11.4,89.0,85.5,11.0,14.5,100.0,22.0,41.5,19.1,0.6,1.8,15.8,20.3,5.7,14.4,5.8,10.3,89.1,86.1,10.9,13.9,100.0,36.4,54.6,15.6,0.5,0.2,8.0,12.2,0.0,25.3,9.0,2.5,88.0,79.1,12.0,20.9,735,244,302,19,      7,22,57,65,62,99,102,117,538,580,730,243,294,     18,      8,     20,     57,     68,     58,102,106,    107,530,559,353,51,188,15,      4,.,9,19,.,34,51,16,116,277,10.2,11.2,17.2,17.7,9.8,9.9,16.4,14.4,10.3,10.5,17.5,17.3,10.1,9.1,17.1,14.4,26.0,29.3,39.5,37.1,25.1,29.1,38.6,36.6,"(CONTRACTS OF 5,000 BUSHELS)",2602,CBT ,2,A10,FutOnly,-60646,
